Day,Lesson name,Lesson description,Tools,Learning objectives,Content delivery,Estimated time (min)
Day 1,Introduction and platform overview,"Describe why long reads are used, introduce long-read versus short-read sequencing and ONT with PacBio context.",None,"* Explain key differences between long- and short-read approaches.
* Describe core workflow stages.",Required,30
Day 1,Read quality control,"Describe key ONT quality metrics and expected thresholds for bacterial assembly, introduce NanoPlot and MultiQC outputs, and learn how to decide whether sequencing data is suitable to proceed.",NanoPlot; MultiQC,"* Run NanoPlot and interpret read quality profiles.
* Aggregate reports with MultiQC.
* Decide if data quality is sufficient to continue.",Required,60
Day 1,Sequencing run QC,"Describe run-level sequencing performance metrics, use NanoPlot for analysing pore activity and channel occupancy over time, and learn how to diagnose run performance issues.",NanoPlot,"* Generate run-level summaries.
* Interpret plots to diagnose sequencing run performance issues.",Required,20
Day 1,Pre-processing,"Describe why adapter clipping and read filtering are required, introduce Pychopper and fastplong, and learn how to balance filtering stringency with sufficient data retention for assembly.",Pychopper; fastplong,"* Remove adapters.
* Filter low-quality and low-complexity reads.
* Compare pre/post-QC to evaluate preprocessing impact.",Required,60
Day 1,Contamination assessment and host read removal,"Describe common contamination sources and host-read implications, introduce Kraken2, Krona, and Minimap2 with Kalamari versus standard database context, and learn how to identify and remove host-associated reads.",Kraken2; Krona; Minimap2,"* Detect host signal with Kraken2 (Kalamari).
* Visualise contamination with Krona.
* Align to host reference and extract non-host reads.",Required,90
Day 1,Genome assembly,"Describe de novo long-read assembly principles and expected outputs, introduce Flye and one of alternative assemblers (Raven, Canu, or Miniasm), and learn how to compare assembly products such as contigs, graphs, and run summaries.",Flye; (Raven; Canu; Miniasm),"* Assemble ONT reads with Flye and a second assembler.
* Inspect contig FASTA, assembly graphs, logs, and summary statistics.",Required,90
Day 1,Plasmid assembly and annotation,"Describe plasmid recovery and annotation challenges, introduce Plassembler and Bakta for plasmid-focused analysis, and learn how to interpret replication, mobility, and resistance-related plasmid features.",Plassembler; Bakta,"* Recover plasmids from ONT reads with Plassembler.
* Annotate plasmids with Bakta.
* Interpret plasmid feature outputs.",Required,60
Day 1,Consensus assembly,"Describe the role of consensus generation in improving assemblies, introduce Autocycler for evaluating candidate assemblies, and learn how to identify and produce circularised consensus outputs where appropriate.",Autocycler,"* Use Autocycler to assess assembly sets.
* Produce consensus/circularised assemblies where supported.",Required,30
Day 1,Assembly quality assessment and visualisation,"Describe assembly quality dimensions including contiguity, correctness, and completeness, introduce QUAST, BUSCO, and MultiQC, and learn how to evaluate assemblies with and without a reference.",QUAST; BUSCO; MultiQC,"* Assess assemblies with QUAST (with/without reference).
* Assess completeness with BUSCO.
* Combine per-sample metrics with MultiQC for comparison.",Required,90
Day 1,Assembly graph visualisation,"Describe assembly graph topology concepts, introduce Bandage for graph inspection, and learn how to interpret circular structures, repeats, and fragmented connectivity patterns.",Bandage,"* Load and inspect assembly graphs in Bandage.
* Identify circular contigs, repeats, and graph connectivity patterns.",If time left,20
Day 1,Assembly polishing,"Describe common systematic errors in ONT assemblies, introduce Medaka-based polishing strategy, and learn how iterative polishing affects consensus accuracy and diminishing returns.",Medaka,"* Align reads back to draft assemblies.
* Run Medaka polishing.
* Compare accuracy before and after polishing.",Required,60
Day 1,Gene annotation and AMR screening,"Describe prokaryotic gene annotation and AMR screening principles, introduce Bakta, AMRFinderPlus, and ABRicate database workflows, and learn how to interpret AMR and virulence findings across tools.",Bakta; AMRFinderPlus; ABRicate,"* Annotate genomes with Bakta.
* Detect AMR genes/mutations with AMRFinderPlus.
* Screen databases with ABRicate.
* Compare tool outputs.",If time left,120
Day 1,Comparative genomics,"Describe pan-genome analysis concepts including core and accessory gene content, introduce OrthoFinder for orthologous gene analysis, and learn how comparative genomics supports bacterial epidemiology questions.",OrthoFinder,"* Run OrthoFinder on multiple annotated proteomes.
* Interpret orthogroups.
* Distinguish core versus accessory gene content.",If time left,90
Day 1,Allele-based identification and variant calling,"Describe long-read variant-calling challenges and filtering principles, introduce Clair3, SnpSift Filter, and bcftools consensus, and learn how to generate high-confidence variants and consensus genomes.",Clair3; SnpSift Filter; bcftools consensus,"* Prepare alignments for variant calling.
* Call variants with Clair3.
* Filter high-confidence variants.
* Build consensus genomes.",If time left,120
Day 1,Multi-sample comparison and phylogenetics,"Describe multiple sequence alignment and phylogenetic inference fundamentals, introduce ClustalW, FastTree, and Newick Display, and learn how to interpret tree topology for sample relatedness.",ClustalW; FastTree; Newick Display,"* Generate multi-sample alignments.
* Build phylogenetic trees.
* Visualise and interpret tree topology for genomic relatedness.",If time left,90
